1,0,61,13,
2,0,17,6,
3,0,14,7,
4,0,12,47,
5,0,4,50,
6,0,3,2,
7,0,1,28,
8,0,2,50,
9,1,62,37,
10,1,31,32,
11,1,91,8,
12,1,25,44,
13,1,22,38,
14,1,18,19,
15,1,2,19,
16,2,92,39,
17,2,31,8,
18,2,28,14,
19,4,5,46,
20,4,6,34,
21,4,7,24,
22,4,8,34,
23,4,9,38,
24,5,6,46,
25,5,7,2,
26,5,8,48,
27,5,9,22,
28,6,7,31,
29,6,8,38,
30,6,9,28,
31,7,8,7,
32,7,9,19,
33,8,9,34,
34,10,11,46,
35,10,12,7,
36,11,12,49,
37,13,14,2,
38,13,15,39,
39,13,16,17,
40,14,15,47,
41,14,16,30,
42,15,16,22,
43,18,19,12,
44,18,20,15,
45,18,21,26,
46,19,20,11,
47,19,21,27,
48,20,21,38,
49,23,24,9,
50,23,25,34,
51,23,26,4,
52,24,25,50,
53,24,26,9,
54,25,26,26,
55,27,28,24,
56,27,29,25,
57,28,29,32,
58,30,61,45,
59,30,44,43,
60,30,41,12,
61,30,35,25,
62,30,33,33,
63,30,31,38,
64,30,32,6,
65,31,92,30,
66,31,49,50,
67,31,45,8,
68,31,32,18,
69,32,61,47,
70,32,95,37,
71,32,58,47,
72,32,54,24,
73,32,53,21,
74,34,35,20,
75,34,36,11,
76,34,37,14,
77,35,36,49,
78,35,37,50,
79,36,37,47,
80,38,39,28,
81,38,40,23,
82,38,41,11,
83,38,42,46,
84,39,40,49,
85,39,41,6,
86,39,42,12,
87,40,41,5,
88,40,42,7,
89,41,42,17,
90,43,44,10,
91,46,47,24,
92,46,48,22,
93,46,49,28,
94,46,50,31,
95,47,48,25,
96,47,49,17,
97,47,50,11,
98,48,49,19,
99,48,50,23,
100,49,50,11,
101,51,52,37,
102,51,53,7,
103,52,53,47,
104,55,56,10,
105,55,57,48,
106,55,58,19,
107,55,59,34,
108,56,57,44,
109,56,58,34,
110,56,59,49,
111,57,58,49,
112,57,59,37,
113,58,59,16,
114,60,76,28,
115,60,75,14,
116,60,73,5,
117,60,70,8,
118,60,64,5,
119,60,61,9,
120,60,62,41,
121,61,90,41,
122,61,83,44,
123,61,82,6,
124,61,62,1,
125,62,92,26,
126,62,89,16,
127,62,86,12,
128,63,64,10,
129,63,65,5,
130,63,66,46,
131,63,67,11,
132,63,68,36,
133,63,69,38,
134,64,65,3,
135,64,66,30,
136,64,67,47,
137,64,68,39,
138,64,69,33,
139,65,66,31,
140,65,67,24,
141,65,68,24,
142,65,69,7,
143,66,67,14,
144,66,68,33,
145,66,69,39,
146,67,68,1,
147,67,69,6,
148,68,69,45,
149,71,72,8,
150,71,73,32,
151,72,73,15,
152,74,75,27,
153,76,77,42,
154,78,79,29,
155,78,80,38,
156,78,81,44,
157,78,82,14,
158,79,80,22,
159,79,81,25,
160,79,82,28,
161,80,81,21,
162,80,82,33,
163,81,82,3,
164,84,85,37,
165,84,86,11,
166,85,86,6,
167,87,88,32,
168,87,89,43,
169,88,89,47,
170,90,102,45,
171,90,98,24,
172,90,91,19,
173,90,92,6,
174,90,93,26,
175,90,94,31,
176,90,95,19,
177,90,96,24,
178,91,104,5,
179,91,92,9,
180,91,93,33,
181,91,94,5,
182,91,95,29,
183,91,96,32,
184,92,106,35,
185,92,93,28,
186,92,94,23,
187,92,95,46,
188,92,96,26,
189,93,114,3,
190,93,110,22,
191,93,94,1,
192,93,95,12,
193,93,96,47,
194,94,128,7,
195,94,127,21,
196,94,123,49,
197,94,121,44,
198,94,118,37,
199,94,95,4,
